Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey
3AC,General,NDLS,CSMT,4,Child,1656,17,37,Shatabdi,159,Senior Citizen,Yes,0.0,1,9,6,244
3AC,Premium Tatkal,MMCT,LTT,5,Senior Citizen,1932,18,6,Shatabdi,309,No_Special_Consideration,Yes,97.0,0,9,0,244
3AC,Ladies,GKP,BBS,5,Adult,155,4,17,Express,143,No_Special_Consideration,Yes,0.0,1,9,1,244
3AC,Ladies,ASR,KOAA,1,Senior Citizen,1840,5,16,Superfast,256,Senior Citizen,No,11.0,0,9,2,244
2AC,Tatkal,MAS,SBC,3,Child,1766,9,32,Express,58,No_Special_Consideration,Yes,0.0,1,9,3,244
2AC,Premium Tatkal,KOAA,MMCT,2,Senior Citizen,721,16,30,Express,223,Defense Quota,Yes,0.0,1,9,4,244
Sleeper,General,ASR,PNBE,4,Senior Citizen,1115,3,35,Superfast,256,Senior Citizen,Yes,0.0,1,9,5,244
1AC,Ladies,SC,JHS,5,Senior Citizen,50,3,36,Rajdhani,374,Defense Quota,No,0.0,1,9,6,244
1AC,Tatkal,LTT,GKP,1,Senior Citizen,129,6,2,Rajdhani,62,No_Special_Consideration,No,0.0,1,9,0,244
1AC,Premium Tatkal,LKO,MAS,1,Adult,1093,5,7,Superfast,313,No_Special_Consideration,Yes,0.0,1,9,1,244
1AC,Tatkal,CNB,MAS,4,Child,1830,11,46,Express,116,Defense Quota,Yes,65.0,0,9,2,244
3AC,Premium Tatkal,PNBE,GKP,1,Senior Citizen,1228,11,10,Shatabdi,133,No_Special_Consideration,No,0.0,1,9,3,244
2AC,General,CNB,BCT,2,Child,1409,14,30,Express,54,No_Special_Consideration,Yes,0.0,1,9,4,244
2AC,Tatkal,ADI,HWH,5,Adult,788,12,20,Express,237,Defense Quota,Yes,0.0,1,9,5,244
2AC,Premium Tatkal,BCT,JP,5,Child,303,13,8,Shatabdi,401,Senior Citizen,No,0.0,1,9,6,244
2AC,Tatkal,LTT,JP,4,Senior Citizen,1002,4,17,Rajdhani,112,Senior Citizen,No,0.0,1,9,0,244
3AC,Tatkal,BBS,MAS,2,Senior Citizen,1839,5,6,Shatabdi,133,No_Special_Consideration,Yes,0.0,1,9,1,244
2AC,Ladies,JHS,JP,3,Adult,1038,3,47,Shatabdi,162,Defense Quota,No,26.0,0,9,2,244
3AC,General,JHS,HWH,3,Adult,639,17,24,Rajdhani,162,Senior Citizen,No,86.0,0,9,3,244
Sleeper,Ladies,BBS,ASR,5,Adult,376,17,14,Express,33,Defense Quota,Yes,127.0,0,9,4,244
3AC,General,SBC,CSMT,2,Senior Citizen,1373,6,2,Superfast,330,Senior Citizen,No,0.0,1,9,5,244
Sleeper,Ladies,JU,NDLS,2,Child,1115,14,40,Rajdhani,115,No_Special_Consideration,No,86.0,0,9,6,244
Sleeper,General,CSMT,ADI,5,Senior Citizen,1838,14,37,Rajdhani,141,Defense Quota,No,0.0,1,9,0,244
1AC,General,LTT,GKP,3,Senior Citizen,446,5,25,Shatabdi,366,No_Special_Consideration,No,84.0,0,9,1,244
3AC,General,MMCT,HWH,2,Child,1751,14,25,Express,499,Senior Citizen,Yes,0.0,1,9,2,244
1AC,General,UMB,MMCT,2,Senior Citizen,572,12,13,Express,406,Defense Quota,Yes,0.0,1,9,3,244
Sleeper,Premium Tatkal,GKP,BSB,2,Senior Citizen,262,13,22,Superfast,65,Senior Citizen,Yes,28.0,0,9,4,244
2AC,Ladies,BCT,ASR,3,Senior Citizen,1572,4,39,Shatabdi,200,No_Special_Consideration,Yes,0.0,1,9,5,244
2AC,General,GKP,ADI,2,Senior Citizen,830,7,9,Superfast,40,Senior Citizen,Yes,55.0,0,9,6,244
1AC,Ladies,ASR,BCT,4,Senior Citizen,1645,8,41,Superfast,35,Defense Quota,No,0.0,1,9,0,244
1AC,General,JHS,UMB,1,Senior Citizen,826,6,12,Express,482,Senior Citizen,No,0.0,1,10,1,244
1AC,Ladies,SC,PNBE,3,Adult,1927,7,12,Rajdhani,215,No_Special_Consideration,Yes,129.0,0,10,2,244
2AC,Tatkal,CSMT,NJP,3,Senior Citizen,1359,6,33,Superfast,455,No_Special_Consideration,Yes,116.0,0,10,3,244
2AC,General,CNB,MMCT,3,Adult,1060,10,36,Rajdhani,449,Defense Quota,No,183.0,0,10,4,244
1AC,Tatkal,NJP,ADI,3,Child,1163,4,2,Rajdhani,226,No_Special_Consideration,Yes,116.0,0,10,5,244
1AC,Tatkal,LKO,SBC,2,Senior Citizen,437,8,7,Rajdhani,175,Defense Quota,No,0.0,1,10,6,244
2AC,Premium Tatkal,PNBE,BBS,2,Child,321,17,21,Rajdhani,142,Senior Citizen,No,0.0,1,10,0,244
3AC,Tatkal,SC,LTT,5,Adult,1648,13,33,Rajdhani,267,Defense Quota,No,0.0,1,10,1,244
2AC,Premium Tatkal,NDLS,UMB,5,Child,344,11,46,Superfast,187,Senior Citizen,Yes,136.0,0,10,2,244
3AC,General,LKO,LTT,1,Adult,1746,10,38,Superfast,211,No_Special_Consideration,No,0.0,1,10,3,244
Sleeper,Ladies,BSB,ADI,1,Senior Citizen,401,5,10,Shatabdi,41,No_Special_Consideration,No,32.0,0,10,4,244
Sleeper,Premium Tatkal,ASR,CSMT,5,Adult,1587,14,12,Shatabdi,310,Senior Citizen,Yes,0.0,1,10,5,244
1AC,Tatkal,BCT,BSB,4,Senior Citizen,361,11,41,Rajdhani,21,No_Special_Consideration,No,0.0,1,10,6,244
2AC,General,UMB,JP,1,Adult,1793,7,3,Shatabdi,436,No_Special_Consideration,No,0.0,1,10,0,244
1AC,Premium Tatkal,LKO,UMB,2,Senior Citizen,1294,8,30,Superfast,262,Defense Quota,Yes,0.0,1,10,1,244
3AC,General,KOAA,BCT,2,Adult,84,16,5,Superfast,158,Senior Citizen,Yes,0.0,1,10,2,244
1AC,Ladies,HWH,ASR,1,Senior Citizen,1104,8,46,Shatabdi,152,Senior Citizen,No,0.0,1,10,3,244
2AC,General,PNBE,ADI,4,Child,676,13,30,Express,128,No_Special_Consideration,Yes,0.0,1,10,4,244
3AC,Tatkal,PNBE,LTT,2,Adult,1826,13,29,Shatabdi,368,No_Special_Consideration,Yes,0.0,1,10,5,244
3AC,Premium Tatkal,KOAA,JU,5,Adult,1913,19,14,Express,135,Senior Citizen,Yes,0.0,1,10,6,244
1AC,Premium Tatkal,SBC,LTT,5,Child,275,18,3,Shatabdi,137,Defense Quota,Yes,0.0,1,10,0,244
2AC,General,JU,BSB,4,Adult,815,9,30,Shatabdi,97,Defense Quota,No,0.0,1,10,1,244
Sleeper,Ladies,PNBE,LTT,4,Senior Citizen,298,10,29,Rajdhani,480,No_Special_Consideration,Yes,0.0,1,10,2,244
2AC,Ladies,CSMT,JHS,3,Senior Citizen,560,16,43,Express,134,Defense Quota,Yes,166.0,0,10,3,244
3AC,Tatkal,BSB,SC,1,Child,1677,10,38,Superfast,309,No_Special_Consideration,No,0.0,1,10,4,244
2AC,Ladies,JHS,ADI,2,Adult,1824,15,37,Rajdhani,56,Defense Quota,No,107.0,0,10,5,244
2AC,Ladies,LKO,GKP,4,Adult,125,14,46,Shatabdi,263,No_Special_Consideration,Yes,0.0,1,10,6,244
2AC,Tatkal,BCT,MAS,2,Senior Citizen,1521,16,31,Shatabdi,411,No_Special_Consideration,Yes,0.0,1,10,0,244
2AC,Premium Tatkal,BSB,MAS,3,Child,1549,9,21,Express,286,No_Special_Consideration,Yes,0.0,1,10,1,244
3AC,Ladies,LTT,BSB,1,Child,1117,3,17,Shatabdi,411,No_Special_Consideration,No,185.0,0,10,2,244
Sleeper,Ladies,JP,CNB,1,Adult,716,2,41,Rajdhani,228,Senior Citizen,Yes,13.0,0,10,3,244
3AC,General,SBC,JU,2,Child,1200,7,19,Rajdhani,164,Senior Citizen,No,0.0,1,11,4,244
1AC,General,JHS,GKP,2,Senior Citizen,231,16,6,Superfast,170,No_Special_Consideration,Yes,0.0,1,11,5,244
3AC,Tatkal,GKP,GKP,1,Adult,248,17,45,Superfast,9,Senior Citizen,No,0.0,1,11,6,244
2AC,Premium Tatkal,LKO,BSB,4,Child,1491,9,13,Express,347,Defense Quota,No,0.0,1,11,0,244
3AC,Tatkal,MMCT,SC,1,Child,130,18,43,Superfast,264,No_Special_Consideration,Yes,111.0,0,11,1,244
3AC,Premium Tatkal,CNB,MAS,2,Adult,239,4,26,Shatabdi,447,Defense Quota,No,45.0,0,11,2,244
2AC,Tatkal,HWH,BCT,4,Adult,1903,16,37,Express,267,No_Special_Consideration,Yes,0.0,1,11,3,244
Sleeper,Ladies,CNB,MMCT,5,Child,511,17,45,Superfast,476,Senior Citizen,No,50.0,0,11,4,244
Sleeper,Tatkal,GKP,NJP,4,Adult,95,6,21,Shatabdi,269,Senior Citizen,Yes,0.0,1,11,5,244
2AC,Premium Tatkal,BCT,PNBE,4,Senior Citizen,56,17,46,Rajdhani,146,No_Special_Consideration,No,0.0,1,11,6,244
2AC,General,BBS,ADI,2,Senior Citizen,561,15,37,Express,317,No_Special_Consideration,No,194.0,0,11,0,244
Sleeper,Premium Tatkal,PNBE,NDLS,4,Adult,1924,2,20,Rajdhani,121,No_Special_Consideration,No,0.0,1,11,1,244
3AC,General,UMB,HWH,4,Senior Citizen,1271,4,18,Shatabdi,189,Defense Quota,No,155.0,0,11,2,244
1AC,Premium Tatkal,UMB,SBC,1,Adult,1815,2,31,Rajdhani,446,No_Special_Consideration,No,0.0,1,11,3,244
2AC,General,KOAA,NJP,1,Child,674,18,6,Shatabdi,293,Senior Citizen,No,0.0,1,11,4,244
