Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey,is_peak_or_holiday,seat_pressure,route_length_per_stop,booking_urgency_bucket
3AC,General,NDLS,CSMT,4,Child,1656,17,37,Shatabdi,159,Senior Citizen,Yes,0.0,1,9,6,244,1,0.025,92.0,early
3AC,Premium Tatkal,MMCT,LTT,5,Senior Citizen,1932,18,6,Shatabdi,309,No_Special_Consideration,Yes,97.0,0,9,0,244,1,0.016129032258064516,101.6842105263158,early
3AC,Ladies,GKP,BBS,5,Adult,155,4,17,Express,143,No_Special_Consideration,Yes,0.0,1,9,1,244,1,0.034722222222222224,31.0,early
3AC,Ladies,ASR,KOAA,1,Senior Citizen,1840,5,16,Superfast,256,Senior Citizen,No,11.0,0,9,2,244,0,0.0038910505836575876,306.6666666666667,early
2AC,Tatkal,MAS,SBC,3,Child,1766,9,32,Express,58,No_Special_Consideration,Yes,0.0,1,9,3,244,1,0.05084745762711865,176.6,early
2AC,Premium Tatkal,KOAA,MMCT,2,Senior Citizen,721,16,30,Express,223,Defense Quota,Yes,0.0,1,9,4,244,1,0.008928571428571428,42.411764705882355,early
Sleeper,General,ASR,PNBE,4,Senior Citizen,1115,3,35,Superfast,256,Senior Citizen,Yes,0.0,1,9,5,244,1,0.01556420233463035,278.75,early
1AC,Ladies,SC,JHS,5,Senior Citizen,50,3,36,Rajdhani,374,Defense Quota,No,0.0,1,9,6,244,0,0.013333333333333334,12.5,early
1AC,Tatkal,LTT,GKP,1,Senior Citizen,129,6,2,Rajdhani,62,No_Special_Consideration,No,0.0,1,9,0,244,0,0.015873015873015872,18.428571428571427,early
1AC,Premium Tatkal,LKO,MAS,1,Adult,1093,5,7,Superfast,313,No_Special_Consideration,Yes,0.0,1,9,1,244,1,0.0031847133757961785,182.16666666666666,early
1AC,Tatkal,CNB,MAS,4,Child,1830,11,46,Express,116,Defense Quota,Yes,65.0,0,9,2,244,1,0.03418803418803419,152.5,early
3AC,Premium Tatkal,PNBE,GKP,1,Senior Citizen,1228,11,10,Shatabdi,133,No_Special_Consideration,No,0.0,1,9,3,244,0,0.007462686567164179,102.33333333333333,early
2AC,General,CNB,BCT,2,Child,1409,14,30,Express,54,No_Special_Consideration,Yes,0.0,1,9,4,244,1,0.03636363636363636,93.93333333333334,early
2AC,Tatkal,ADI,HWH,5,Adult,788,12,20,Express,237,Defense Quota,Yes,0.0,1,9,5,244,1,0.02100840336134454,60.61538461538461,early
2AC,Premium Tatkal,BCT,JP,5,Child,303,13,8,Shatabdi,401,Senior Citizen,No,0.0,1,9,6,244,0,0.012437810945273632,21.642857142857142,early
2AC,Tatkal,LTT,JP,4,Senior Citizen,1002,4,17,Rajdhani,112,Senior Citizen,No,0.0,1,9,0,244,0,0.035398230088495575,200.4,early
3AC,Tatkal,BBS,MAS,2,Senior Citizen,1839,5,6,Shatabdi,133,No_Special_Consideration,Yes,0.0,1,9,1,244,1,0.014925373134328358,306.5,early
2AC,Ladies,JHS,JP,3,Adult,1038,3,47,Shatabdi,162,Defense Quota,No,26.0,0,9,2,244,0,0.018404907975460124,259.5,early
3AC,General,JHS,HWH,3,Adult,639,17,24,Rajdhani,162,Senior Citizen,No,86.0,0,9,3,244,0,0.018404907975460124,35.5,early
Sleeper,Ladies,BBS,ASR,5,Adult,376,17,14,Express,33,Defense Quota,Yes,127.0,0,9,4,244,1,0.14705882352941177,20.88888888888889,early
3AC,General,SBC,CSMT,2,Senior Citizen,1373,6,2,Superfast,330,Senior Citizen,No,0.0,1,9,5,244,0,0.006042296072507553,196.14285714285714,early
Sleeper,Ladies,JU,NDLS,2,Child,1115,14,40,Rajdhani,115,No_Special_Consideration,No,86.0,0,9,6,244,0,0.017241379310344827,74.33333333333333,early
Sleeper,General,CSMT,ADI,5,Senior Citizen,1838,14,37,Rajdhani,141,Defense Quota,No,0.0,1,9,0,244,0,0.035211267605633804,122.53333333333333,early
1AC,General,LTT,GKP,3,Senior Citizen,446,5,25,Shatabdi,366,No_Special_Consideration,No,84.0,0,9,1,244,0,0.008174386920980926,74.33333333333333,early
3AC,General,MMCT,HWH,2,Child,1751,14,25,Express,499,Senior Citizen,Yes,0.0,1,9,2,244,1,0.004,116.73333333333333,early
1AC,General,UMB,MMCT,2,Senior Citizen,572,12,13,Express,406,Defense Quota,Yes,0.0,1,9,3,244,1,0.004914004914004914,44.0,early
Sleeper,Premium Tatkal,GKP,BSB,2,Senior Citizen,262,13,22,Superfast,65,Senior Citizen,Yes,28.0,0,9,4,244,1,0.030303030303030304,18.714285714285715,early
2AC,Ladies,BCT,ASR,3,Senior Citizen,1572,4,39,Shatabdi,200,No_Special_Consideration,Yes,0.0,1,9,5,244,1,0.014925373134328358,314.4,early
2AC,General,GKP,ADI,2,Senior Citizen,830,7,9,Superfast,40,Senior Citizen,Yes,55.0,0,9,6,244,1,0.04878048780487805,103.75,early
1AC,Ladies,ASR,BCT,4,Senior Citizen,1645,8,41,Superfast,35,Defense Quota,No,0.0,1,9,0,244,0,0.1111111111111111,182.77777777777777,early
1AC,General,JHS,UMB,1,Senior Citizen,826,6,12,Express,482,Senior Citizen,No,0.0,1,10,1,244,0,0.002070393374741201,118.0,early
1AC,Ladies,SC,PNBE,3,Adult,1927,7,12,Rajdhani,215,No_Special_Consideration,Yes,129.0,0,10,2,244,1,0.013888888888888888,240.875,early
2AC,Tatkal,CSMT,NJP,3,Senior Citizen,1359,6,33,Superfast,455,No_Special_Consideration,Yes,116.0,0,10,3,244,1,0.006578947368421052,194.14285714285714,early
2AC,General,CNB,MMCT,3,Adult,1060,10,36,Rajdhani,449,Defense Quota,No,183.0,0,10,4,244,0,0.006666666666666667,96.36363636363636,early
1AC,Tatkal,NJP,ADI,3,Child,1163,4,2,Rajdhani,226,No_Special_Consideration,Yes,116.0,0,10,5,244,1,0.013215859030837005,232.6,early
1AC,Tatkal,LKO,SBC,2,Senior Citizen,437,8,7,Rajdhani,175,Defense Quota,No,0.0,1,10,6,244,0,0.011363636363636364,48.55555555555556,early
2AC,Premium Tatkal,PNBE,BBS,2,Child,321,17,21,Rajdhani,142,Senior Citizen,No,0.0,1,10,0,244,0,0.013986013986013986,17.833333333333332,early
3AC,Tatkal,SC,LTT,5,Adult,1648,13,33,Rajdhani,267,Defense Quota,No,0.0,1,10,1,244,0,0.018656716417910446,117.71428571428571,early
2AC,Premium Tatkal,NDLS,UMB,5,Child,344,11,46,Superfast,187,Senior Citizen,Yes,136.0,0,10,2,244,1,0.026595744680851064,28.666666666666668,early
3AC,General,LKO,LTT,1,Adult,1746,10,38,Superfast,211,No_Special_Consideration,No,0.0,1,10,3,244,0,0.0047169811320754715,158.72727272727272,early
Sleeper,Ladies,BSB,ADI,1,Senior Citizen,401,5,10,Shatabdi,41,No_Special_Consideration,No,32.0,0,10,4,244,0,0.023809523809523808,66.83333333333333,early
Sleeper,Premium Tatkal,ASR,CSMT,5,Adult,1587,14,12,Shatabdi,310,Senior Citizen,Yes,0.0,1,10,5,244,1,0.01607717041800643,105.8,early
1AC,Tatkal,BCT,BSB,4,Senior Citizen,361,11,41,Rajdhani,21,No_Special_Consideration,No,0.0,1,10,6,244,0,0.18181818181818182,30.083333333333332,early
2AC,General,UMB,JP,1,Adult,1793,7,3,Shatabdi,436,No_Special_Consideration,No,0.0,1,10,0,244,0,0.002288329519450801,224.125,early
1AC,Premium Tatkal,LKO,UMB,2,Senior Citizen,1294,8,30,Superfast,262,Defense Quota,Yes,0.0,1,10,1,244,1,0.0076045627376425855,143.77777777777777,early
