Number of Passengers,Travel Distance,Number of Stations,Travel Time,Seat Availability,journey_month,journey_dayofweek,days_before_journey,seat_pressure,route_length_per_stop,is_peak_or_holiday,Class of Travel,Quota,Source Station,Destination Station,Train Type,Special Considerations,Holiday or Peak Season,booking_urgency_bucket,Age of Passengers
1,345,7,7,123,11,5,244,0.0080645161290322,43.125,0,Sleeper,General,PNBE,GKP,Shatabdi,Senior Citizen,No,early,Adult
4,1530,4,13,36,6,4,244,0.1081081081081081,306.0,0,1AC,Tatkal,JP,MAS,Superfast,Senior Citizen,No,early,Senior Citizen
5,1684,9,22,162,9,6,244,0.0306748466257668,168.4,0,2AC,Tatkal,PNBE,CSMT,Shatabdi,Senior Citizen,No,early,Senior Citizen
3,1862,9,16,9,11,1,244,0.3,186.2,1,Sleeper,Ladies,NDLS,BBS,Shatabdi,Defense Quota,Yes,early,Adult
4,95,9,7,260,3,3,244,0.0153256704980842,9.5,1,3AC,Premium Tatkal,JU,SC,Superfast,Defense Quota,Yes,early,Child
4,797,19,33,404,8,2,244,0.0098765432098765,39.85,1,3AC,Premium Tatkal,BCT,JP,Express,Senior Citizen,Yes,early,Child
3,1037,3,23,172,5,6,244,0.0173410404624277,259.25,0,1AC,General,BSB,BCT,Superfast,Defense Quota,No,early,Senior Citizen
1,759,7,16,343,5,1,244,0.002906976744186,94.875,1,Sleeper,General,SC,NDLS,Rajdhani,No_Special_Consideration,Yes,early,Adult
2,1943,3,25,315,8,2,244,0.0063291139240506,485.75,0,3AC,Tatkal,LTT,BBS,Shatabdi,No_Special_Consideration,No,early,Adult
4,1610,18,34,119,8,6,244,0.0333333333333333,84.73684210526316,0,Sleeper,General,CNB,NDLS,Express,Defense Quota,No,early,Child
5,1580,5,40,259,10,1,244,0.0192307692307692,263.3333333333333,1,Sleeper,Tatkal,SBC,MMCT,Shatabdi,Defense Quota,Yes,early,Adult
4,1460,7,24,453,4,2,244,0.0088105726872246,182.5,1,2AC,Premium Tatkal,KOAA,CSMT,Express,Defense Quota,Yes,early,Senior Citizen
3,1691,15,31,100,6,4,244,0.0297029702970297,105.6875,0,1AC,General,HWH,KOAA,Express,Senior Citizen,No,early,Child
1,539,16,22,384,7,6,244,0.0025974025974025,31.705882352941178,0,1AC,General,CNB,CNB,Superfast,Defense Quota,No,early,Senior Citizen
1,1536,10,8,487,9,1,244,0.0020491803278688,139.63636363636363,0,3AC,Ladies,NDLS,JU,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
4,1446,14,45,199,3,4,244,0.02,96.4,1,1AC,Ladies,BBS,UMB,Rajdhani,Senior Citizen,Yes,early,Adult
